10	10	10	HAO:0000000	anatomical entity
20	10	10	HAO:0000001	ventral mesofurco-profurcal muscle
30	10	10	HAO:0000002	A1 flap
40	10	10	HAO:0000003	anatomical structure
50	10	10	HAO:0000004	portion of organism substance
60	10	10	HAO:0000005	anatomical space
70	10	10	HAO:0000006	material anatomical entity
80	10	10	HAO:0000007	immaterial anatomical entity
90	10	10	HAO:0000008	anatomical line
100	10	10	HAO:0000009	anatomical point
110	10	10	HAO:0000010	anatomical surface
120	10	10	HAO:0000011	anatomical system
130	10	10	HAO:0000012	multi-cellular organism
10	20	10	HAO:0000013	cell
20	20	10	HAO:0000014	cell component
30	20	10	HAO:0000015	abdomen
40	20	10	HAO:0000016	abdominal segment
50	20	10	HAO:0000017	abdominal segment 1
60	20	10	HAO:0000018	abdominal segment 10
70	20	10	HAO:0000019	compound organ component
80	20	10	HAO:0000020	abdominal segment 2
90	20	10	HAO:0000021	simple organ
100	20	10	HAO:0000022	abdominal segment 3
110	20	10	HAO:0000023	abdominal segment 4
120	20	10	HAO:0000024	compound organ
130	20	10	HAO:0000025	abdominal segment 5
10	30	10	HAO:0000026	abdominal segment 6
20	30	10	HAO:0000027	male organism
30	30	10	HAO:0000028	female organism
40	30	10	HAO:0000029	hermaphroditic organism
50	30	10	HAO:0000030	asexual organism
60	30	10	HAO:0000031	abdominal segment 7
70	30	10	HAO:0000032	organism subdivision
80	30	10	HAO:0000033	abdominal segment 8
90	30	10	HAO:0000034	abdominal segment 9
100	30	10	HAO:0000035	abdominal sternum 2
110	30	10	HAO:0000036	abdominal sternum 3
120	30	10	HAO:0000037	abdominal sternum 4
130	30	10	HAO:0000038	abdominal sternum 5
10	40	10	HAO:0000039	abdominal sternum 6
20	40	10	HAO:0000040	acellular anatomical structure
30	40	10	HAO:0000041	anatomical cluster
40	40	10	HAO:0000042	extraembryonic structure
50	40	10	HAO:0000043	portion of tissue
60	40	10	HAO:0000044	abdominal sternum 7
70	40	10	HAO:0000045	sequential hermaphroditic organism
80	40	10	HAO:0000046	synchronous hermaphroditic organism
90	40	10	HAO:0000047	abdominal sternum 9
100	40	10	HAO:0000048	gonochoristic organism
110	40	10	HAO:0000049	protandrous hermaphroditic organism
120	40	10	HAO:0000050	protogynous hermaphroditic organism
130	40	10	HAO:0000051	abdominal tergum 1
10	50	10	HAO:0000052	abdominal tergum 10
20	50	10	HAO:0000053	abdominal tergum 2
30	50	10	HAO:0000054	anatomical group
